{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf600
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl280\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 34, Private, 287315, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
40, Local-gov, 105862, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 5455, 0, 40, United-States, <=50K\
42, Private, 145441, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K\
37, Private, 30267, 11th, 7, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 60, United-States, >50K\
28, Private, 119793, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Portugal, <=50K\
58, Private, 119386, Assoc-voc, 11, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K\
64, State-gov, 222966, 7th-8th, 4, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States, <=50K\
22, Private, 51985, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 30, United-States, <=50K\
29, Private, 177562, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 3781, 0, 35, United-States, <=50K\
54, Private, 96062, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K\
33, Local-gov, 203051, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 46, United-States, <=50K\
27, Private, 257033, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 60, United-States, <=50K\
39, Private, 288551, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K\
34, Private, 231043, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 3908, 0, 45, United-States, <=50K\
37, Private, 148143, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
23, Private, 65225, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 15, United-States, <=50K\
37, Federal-gov, 419053, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
44, Self-emp-inc, 277788, 11th, 7, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, Portugal, >50K\
51, Private, 85423, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K\
73, Private, 284680, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K\
50, Private, 305319, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
48, Self-emp-not-inc, 177783, 7th-8th, 4, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K\
44, Private, 370502, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 25, Mexico, <=50K\
53, Private, 177647, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K\
23, Private, 35633, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
48, Private, 38819, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 75, United-States, <=50K\
50, Private, 99925, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 32, United-States, <=50K\
55, Private, 223127, 9th, 5, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K\
35, Private, 77792, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 40, ?, <=50K\
39, Private, 163392, HS-grad, 9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 26, ?, <=50K\
52, Private, 159908, 12th, 8, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
37, Private, 195189, Some-college, 10, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
61, ?, 71467, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 3103, 0, 40, United-States, >50K\
55, Local-gov, 37869, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K\
48, Federal-gov, 56482, 10th, 6, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K\
31, Local-gov, 323829, HS-grad, 9, Divorced, Protective-serv, Other-relative, White, Male, 0, 0, 45, United-States, <=50K\
37, State-gov, 46814, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K\
48, Self-emp-inc, 138370, Masters, 14, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 50, India, <=50K\
39, Private, 48063, 12th, 8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 32, United-States, <=50K\
60, Local-gov, 227311, 10th, 6, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
76, Private, 278938, Bachelors, 13, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K\
59, Local-gov, 420537, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States, >50K\
33, Private, 249409, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 35, United-States, <=50K\
19, Private, 191986, 10th, 6, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
32, Self-emp-inc, 281030, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
21, Local-gov, 136208, Some-college, 10, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 48, United-States, <=50K\
23, ?, 191444, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
44, Private, 211759, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Other, Male, 0, 0, 40, Puerto-Rico, <=50K\
30, Federal-gov, 234994, Some-college, 10, Divorced, Exec-managerial, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K\
21, Private, 176356, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
54, State-gov, 197184, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 38, United-States, <=50K\
61, Private, 313170, HS-grad, 9, Widowed, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
56, Self-emp-not-inc, 346635, Masters, 14, Divorced, Sales, Unmarried, White, Female, 0, 2339, 60, United-States, <=50K\
32, Private, 177792, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 48, United-States, >50K\
32, ?, 339099, Some-college, 10, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
56, Private, 314727, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, >50K\
28, Private, 192932, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
32, Private, 211699, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 1485, 40, United-States, >50K\
63, ?, 445168, Bachelors, 13, Widowed, ?, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 56, United-States, <=50K\
26, Private, 133756, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K\
77, Local-gov, 120408, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 20, United-States, <=50K\
22, Private, 204935, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
56, Private, 318329, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K\
59, Private, 258883, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K\
72, Self-emp-not-inc, 52138, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2392, 25, United-States, >50K\
25, Private, 192302, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K\
52, Local-gov, 153064, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K\
21, Private, 57916, HS-grad, 9, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 40, United-States, <=50K\
37, Self-emp-not-inc, 24106, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K\
63, Private, 85420, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5013, 0, 15, United-States, <=50K\
47, Self-emp-inc, 248145, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, Cuba, <=50K\
65, State-gov, 29276, 7th-8th, 4, Widowed, Other-service, Other-relative, White, Female, 0, 0, 24, United-States, <=50K\
35, Private, 356238, Assoc-acdm, 12, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 80, United-States, >50K\
45, Private, 238567, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 50, United-States, >50K\
30, Private, 207301, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K\
41, Private, 51506, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K\
56, Private, 108276, Bachelors, 13, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
25, Private, 223426, Assoc-voc, 11, Never-married, Sales, Not-in-family, White, Male, 0, 0, 65, Canada, >50K\
17, Self-emp-not-inc, 368700, 11th, 7, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K\
39, Private, 28572, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 48, United-States, <=50K\
22, ?, 393122, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K\
23, Private, 67958, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K\
44, Private, 297991, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 50, United-States, <=50K\
42, Private, 356934, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K\
41, State-gov, 197558, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
57, Private, 437727, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 45, United-States, >50K\
62, Self-emp-not-inc, 26911, 7th-8th, 4, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 66, United-States, <=50K\
23, Private, 120601, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K\
50, Private, 313297, 5th-6th, 3, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, Mexico, <=50K\
24, Private, 204226, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
24, Private, 306779, Assoc-voc, 11, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 35, United-States, <=50K\
45, Self-emp-not-inc, 277630, Some-college, 10, Divorced, Exec-managerial, Not-in-family, Black, Male, 0, 0, 48, United-States, <=50K\
38, Local-gov, 193026, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K\
56, Private, 244605, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
32, Private, 207668, Bachelors, 13, Never-married, Exec-managerial, Other-relative, White, Male, 0, 2444, 50, United-States, >50K\
41, Private, 202168, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K\
56, Self-emp-not-inc, 249368, HS-grad, 9, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K\
53, Self-emp-not-inc, 34973, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States, <=50K\
34, Private, 299507, Assoc-voc, 11, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
45, Private, 243743, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K\
35, Private, 61343, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K\
33, Private, 189843, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K\
55, Private, 202652, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K\
18, Private, 137363, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
31, Private, 168387, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, Canada, >50K\
35, Private, 111387, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 1579, 40, United-States, <=50K\
58, ?, 228614, 7th-8th, 4, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 35, United-States, <=50K\
53, Federal-gov, 225339, Some-college, 10, Widowed, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K\
23, Private, 46561, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K\
23, Private, 236804, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K\
63, Self-emp-not-inc, 159715, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K\
53, Private, 191025, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K\
19, Private, 185695, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
38, Private, 122076, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 7298, 0, 43, United-States, >50K\
35, Private, 225750, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 32, United-States, <=50K\
21, Private, 191497, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
34, Private, 300687, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K\
31, Private, 87054, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K\
22, Private, 264738, HS-grad, 9, Never-married, Exec-managerial, Other-relative, White, Female, 0, 0, 42, Germany, <=50K\
66, ?, 68219, 9th, 5, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K\
51, Self-emp-inc, 183173, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, >50K\
28, Private, 214026, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 35, United-States, <=50K\
27, Private, 85625, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K\
33, Private, 318982, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 38, United-States, <=50K\
36, Private, 383566, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, England, >50K\
24, State-gov, 147253, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K\
52, Private, 259583, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K\
66, Self-emp-not-inc, 198766, HS-grad, 9, Widowed, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
40, Private, 316820, 7th-8th, 4, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 40, United-States, <=50K\
33, Private, 149902, Some-college, 10, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
23, Private, 13769, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male, 0, 0, 30, United-States, <=50K\
42, Private, 307638, HS-grad, 9, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
44, State-gov, 156642, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 39, United-States, <=50K\
53, State-gov, 182907, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K\
44, Self-emp-not-inc, 92162, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
21, Private, 200089, 1st-4th, 2, Married-civ-spouse, Other-service, Other-relative, White, Male, 0, 0, 40, England, <=50K\
41, Local-gov, 168071, HS-grad, 9, Divorced, Exec-managerial, Own-child, White, Male, 0, 0, 45, United-States, <=50K\
55, Private, 118057, HS-grad, 9, Widowed, Craft-repair, Unmarried, White, Male, 0, 0, 51, United-States, <=50K\
35, Private, 102178, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, >50K\
27, Private, 298635, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Hong, >50K\
37, Local-gov, 269300, Some-college, 10, Married-spouse-absent, Adm-clerical, Unmarried, Black, Female, 0, 0, 27, United-States, <=50K\
47, Self-emp-inc, 147869, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K\
39, Private, 109351, Assoc-voc, 11, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
35, Private, 58343, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, <=50K\
33, State-gov, 65018, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 20, China, <=50K\
58, Private, 299991, 11th, 7, Divorced, Adm-clerical, Not-in-family, White, Female, 3674, 0, 40, United-States, <=50K\
64, Private, 210082, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
53, Private, 201127, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, >50K\
46, Private, 141483, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K\
40, Private, 299813, 11th, 7, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 37, Dominican-Republic, <=50K\
45, Private, 330087, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
46, Private, 154405, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K\
27, Private, 310850, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K\
22, Private, 259109, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 18, United-States, <=50K\
25, Private, 185942, Masters, 14, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, >50K\
46, Private, 334421, Bachelors, 13, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, China, <=50K\
46, Private, 182715, 7th-8th, 4, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
32, Private, 50753, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K\
53, Private, 190319, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 1485, 40, Thailand, >50K\
61, Private, 156852, Assoc-voc, 11, Widowed, Tech-support, Unmarried, White, Female, 0, 0, 8, United-States, <=50K\
31, Private, 140206, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K\
36, Self-emp-not-inc, 193026, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K\
21, Private, 231053, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, United-States, <=50K\
52, Private, 120914, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
27, Private, 208703, HS-grad, 9, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 40, Japan, <=50K\
31, Private, 323055, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K\
34, Private, 87310, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 2174, 0, 40, United-States, <=50K\
27, Private, 37250, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1651, 40, United-States, <=50K\
29, Private, 105598, Some-college, 10, Divorced, Tech-support, Not-in-family, White, Male, 0, 0, 58, United-States, <=50K\
21, Private, 118712, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 1504, 40, United-States, <=50K\
44, Private, 156413, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 44, United-States, >50K\
59, Private, 121865, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K\
20, Never-worked, 462294, Some-college, 10, Never-married, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K\
29, Self-emp-not-inc, 229842, HS-grad, 9, Never-married, Transport-moving, Unmarried, Black, Male, 0, 0, 45, United-States, <=50K\
61, Private, 293899, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K\
57, Self-emp-not-inc, 437281, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 38, United-States, >50K\
70, Self-emp-inc, 232871, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States, <=50K\
32, Private, 334744, HS-grad, 9, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K\
48, Private, 449354, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 4386, 0, 45, United-States, >50K\
17, Private, 333304, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K\
28, Private, 203776, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K\
27, ?, 61387, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 15, United-States, <=50K\
33, Private, 389932, HS-grad, 9, Divorced, Transport-moving, Not-in-family, Black, Male, 0, 0, 55, United-States, <=50K\
17, ?, 219277, 11th, 7, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
54, Private, 213092, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K\
68, State-gov, 235882, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2377, 60, United-States, >50K\
30, Local-gov, 177828, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
56, Private, 140136, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 35, United-States, >50K\
18, Private, 99591, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 16, United-States, <=50K\
30, Local-gov, 38268, HS-grad, 9, Separated, Other-service, Unmarried, White, Male, 0, 0, 40, United-States, >50K\
18, Private, 379710, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K\
28, Private, 32510, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 15, United-States, <=50K\
22, Private, 251196, Some-college, 10, Never-married, Protective-serv, Own-child, Black, Female, 0, 0, 20, United-States, <=50K\
63, Private, 308028, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 5013, 0, 40, United-States, <=50K\
34, Private, 175856, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3103, 0, 55, United-States, >50K\
29, Private, 178610, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 21, United-States, <=50K\
27, Private, 154210, 11th, 7, Married-spouse-absent, Sales, Own-child, Asian-Pac-Islander, Male, 0, 0, 35, India, <=50K\
29, Private, 59792, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, Taiwan, <=50K\
45, Self-emp-not-inc, 155489, 7th-8th, 4, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 65, United-States, >50K\
33, Private, 162312, HS-grad, 9, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 45, Japan, <=50K\
39, Self-emp-inc, 285890, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 40, Haiti, >50K\
27, Private, 134890, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
36, Private, 163396, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K\
31, Federal-gov, 30917, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 72, United-States, <=50K\
36, ?, 187983, HS-grad, 9, Never-married, ?, Unmarried, White, Female, 0, 0, 40, United-States, <=50K\
31, Private, 473133, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 40, United-States, >50K\
20, ?, 33860, Some-college, 10, Never-married, ?, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 28, United-States, <=50K\
33, Private, 205249, Masters, 14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 55, ?, <=50K\
35, Self-emp-not-inc, 140854, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K\
45, State-gov, 36032, HS-grad, 9, Divorced, Protective-serv, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K\
62, Self-emp-inc, 163234, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 55, United-States, >50K\
57, Self-emp-not-inc, 50791, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, United-States, <=50K\
44, Private, 175943, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 20, United-States, <=50K\
38, Private, 358682, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K\
46, Private, 170850, Bachelors, 13, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 1590, 40, ?, <=50K\
28, Self-emp-not-inc, 107236, 12th, 8, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K\
22, Private, 127647, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 36, United-States, <=50K\
